State,City,Date,NO2 Mean ppb,NO2 AQI
Michigan,Detroit,1-Apr-2000,38,58
Michigan,Detroit,2-Apr-2000,26,52
Michigan,Detroit,3-Apr-2000,36,47
Michigan,Detroit,4-Apr-2000,17,30
Michigan,Detroit,5-Apr-2000,25,45
Michigan,Detroit,6-Apr-2000,20,49
Michigan,Detroit,7-Apr-2000,27,40
Michigan,Detroit,8-Apr-2000,12,34
Michigan,Detroit,9-Apr-2000,20,36
Michigan,Detroit,10-Apr-2000,21,39
Michigan,Detroit,11-Apr-2000,28,42
Michigan,Detroit,12-Apr-2000,29,47
Michigan,Detroit,13-Apr-2000,27,42
Michigan,Detroit,14-Apr-2000,40,50
Michigan,Detroit,15-Apr-2000,30,50
Michigan,Detroit,16-Apr-2000,9,16
Michigan,Detroit,17-Apr-2000,19,25
Michigan,Detroit,18-Apr-2000,28,40
Michigan,Detroit,19-Apr-2000,25,40
Michigan,Detroit,20-Apr-2000,25,30
Michigan,Detroit,21-Apr-2000,20,25
Michigan,Detroit,22-Apr-2000,12,35
Michigan,Detroit,23-Apr-2000,22,34
Michigan,Detroit,24-Apr-2000,15,31
Michigan,Detroit,25-Apr-2000,14,31
Michigan,Detroit,26-Apr-2000,28,43
Michigan,Detroit,27-Apr-2000,31,54
Michigan,Detroit,28-Apr-2000,36,61
Michigan,Detroit,29-Apr-2000,17,37
Michigan,Detroit,30-Apr-2000,37,48
Michigan,Detroit,1-May-2000,26,40
Michigan,Detroit,2-May-2000,28,42
Michigan,Detroit,3-May-2000,31,52
Michigan,Detroit,4-May-2000,26,64
Michigan,Detroit,5-May-2000,21,41
Michigan,Detroit,6-May-2000,14,25
Michigan,Detroit,7-May-2000,24,34
Michigan,Detroit,8-May-2000,20,35
Michigan,Detroit,9-May-2000,15,27
Michigan,Detroit,10-May-2000,29,39
Michigan,Detroit,11-May-2000,25,45
Michigan,Detroit,12-May-2000,8,12
Michigan,Detroit,13-May-2000,10,38
Michigan,Detroit,14-May-2000,24,50
Michigan,Detroit,15-May-2000,39,47
Michigan,Detroit,16-May-2000,36,57
Michigan,Detroit,17-May-2000,21,33
Michigan,Detroit,18-May-2000,19,25
Michigan,Detroit,19-May-2000,16,29
Michigan,Detroit,20-May-2000,22,38
Michigan,Detroit,21-May-2000,32,45
Michigan,Detroit,22-May-2000,24,40
Michigan,Detroit,23-May-2000,27,42
Michigan,Detroit,24-May-2000,15,38
Michigan,Detroit,25-May-2000,27,42
Michigan,Detroit,26-May-2000,17,26
Michigan,Detroit,27-May-2000,14,26
Michigan,Detroit,28-May-2000,16,39
Michigan,Detroit,29-May-2000,24,42
Michigan,Detroit,30-May-2000,28,42
Michigan,Detroit,31-May-2000,35,49
Michigan,Detroit,1-Jun-2000,13,34
Michigan,Detroit,2-Jun-2000,0,0
Michigan,Detroit,3-Jun-2000,0,0
Michigan,Detroit,4-Jun-2000,12,29
Michigan,Detroit,5-Jun-2000,16,45
Michigan,Detroit,6-Jun-2000,26,39
Michigan,Detroit,7-Jun-2000,25,41
Michigan,Detroit,8-Jun-2000,23,51
Michigan,Detroit,9-Jun-2000,16,29
Michigan,Detroit,10-Jun-2000,10,23
Michigan,Detroit,11-Jun-2000,15,21
Michigan,Detroit,12-Jun-2000,24,43
Michigan,Detroit,13-Jun-2000,29,34
Michigan,Detroit,14-Jun-2000,18,41
Michigan,Detroit,15-Jun-2000,20,34
Michigan,Detroit,16-Jun-2000,15,37
Michigan,Detroit,17-Jun-2000,17,35
Michigan,Detroit,18-Jun-2000,36,50
Michigan,Detroit,19-Jun-2000,26,42
Michigan,Detroit,20-Jun-2000,20,52
Michigan,Detroit,21-Jun-2000,16,26
Michigan,Detroit,22-Jun-2000,28,37
Michigan,Detroit,23-Jun-2000,25,38
Michigan,Detroit,24-Jun-2000,13,43
Michigan,Detroit,25-Jun-2000,25,41
Michigan,Detroit,26-Jun-2000,18,37
Michigan,Detroit,27-Jun-2000,19,29
Michigan,Detroit,28-Jun-2000,23,34
Michigan,Detroit,29-Jun-2000,22,51
