Name,Scientific,Listing,Description,Date,Group
akiapolaau,Hemignathus wilsoni,Endangered,Wherever found,3/11/1967,Birds
`Akohekohe (crested honeycreeper),Palmeria dolei,Endangered,Wherever found,3/11/1967,Birds
Aleutian Canada goose,Branta canadensis leucopareia,Recovery,Wherever found,3/11/1967,Birds
American alligator,Alligator mississippiensis,Similarity of Appearance (Threatened),Wherever found,3/11/1967,Reptiles
Apache trout,Oncorhynchus apache,Threatened,Wherever found,3/11/1967,Fishes
Attwater's greater prairie-chicken,Tympanuchus cupido attwateri,Endangered,Wherever found,3/11/1967,Birds
Bachman's warbler (=wood),Vermivora bachmanii,Extinction,Wherever found,3/11/1967,Birds
Bald Eagle,Haliaeetus leucocephalus,Recovery,"U.S.A., conterminous (lower 48) States.",3/11/1967,Birds
Big Bend gambusia,Gambusia gaigei,Endangered,Wherever found,3/11/1967,Fishes
Black-footed ferret,Mustela nigripes,Endangered,"Wherever found, except where listed as an experimental population",3/11/1967,Mammals
Black toad,Bufo exsul,Species of Concern,Wherever found,3/11/1967,Amphibians
Blue pike,Stizostedion vitreum glaucum,Extinction,Wherever found,3/11/1967,Fishes
Blunt-nosed leopard lizard,Gambelia silus,Endangered,Wherever found,3/11/1967,Reptiles
California condor,Gymnogyps californianus,Endangered,"U.S.A. only, except where listed as an experimental population",3/11/1967,Birds
Cape Sable seaside sparrow,Ammospiza maritima mirabilis,Endangered,Wherever found,3/11/1967,Birds
Clear Creek gambusia,Gambusia heterochir,Endangered,Wherever found,3/11/1967,Fishes
Colorado pikeminnow,Ptychocheilus lucius,Endangered,"Wherever found, except where listed as an experimental population",3/11/1967,Fishes
Columbian white-tailed deer,Odocoileus virginianus leucurus,Threatened,"Columbia River (Clark, Cowliz, Pacific, Skamania, and Wahkiakum Counties, WA., and Clatsop, Columbia, and Multnomah Counties, OR.)",3/11/1967,Mammals
Columbian white-tailed deer,Odocoileus virginianus leucurus,Recovery,"Douglas County, Oregon",3/11/1967,Mammals
Comanche Springs pupfish,Cyprinodon elegans,Endangered,Wherever found,3/11/1967,Fishes
Cui-ui,Chasmistes cujus,Endangered,Wherever found,3/11/1967,Fishes
Delmarva Peninsula fox squirrel,Sciurus niger cinereus,Recovery,"Wherever found, except where listed as an experimental population",3/11/1967,Mammals
Desert dace,Eremichthys acros,Threatened,Wherever found,3/11/1967,Fishes
Devils Hole pupfish,Cyprinodon diabolis,Endangered,Wherever found,3/11/1967,Fishes
Dusky seaside sparrow,Ammodramus maritimus nigrescens,Extinction,Wherever found,3/11/1967,Birds
Eskimo curlew,Numenius borealis,Endangered,Wherever found,3/11/1967,Birds
Everglade snail kite,Rostrhamus sociabilis plumbeus,Endangered,Wherever found,3/11/1967,Birds
Florida panther,Puma (=Felis) concolor coryi,Endangered,Wherever found,3/11/1967,Mammals
Gila topminnow (incl. Yaqui),Poeciliopsis occidentalis,Endangered,U.S. Only,3/11/1967,Fishes
Gila trout,Oncorhynchus gilae,Threatened,Wherever found,3/11/1967,Fishes
Greenback Cutthroat trout,Oncorhynchus clarkii stomias,Threatened,Wherever found,3/11/1967,Fishes
Guadalupe fur seal,Arctocephalus townsendi,Threatened,Wherever found,3/11/1967,Mammals
Hawaiian common gallinule,Gallinula galeata sandvicensis,Endangered,Wherever found,3/11/1967,Birds
Hawaiian crow,Corvus hawaiiensis,Endangered,Wherever found,3/11/1967,Birds
Hawaiian duck,Anas wyvilliana,Endangered,Wherever found,3/11/1967,Birds
Hawaiian goose,Branta (=Nesochen) sandvicensis,Threatened,Wherever found,3/11/1967,Birds
Hawaiian (='lo) Hawk,Buteo solitarius,Recovery,Wherever found,3/11/1967,Birds
Hawaiian petrel,Pterodroma sandwichensis,Endangered,Wherever found,3/11/1967,Birds
Humpback chub,Gila cypha,Threatened,Wherever found,3/11/1967,Fishes
Indiana bat,Myotis sodalis,Endangered,Wherever found,3/11/1967,Mammals
Ivory-billed woodpecker,Campephilus principalis,Endangered,Wherever found,3/11/1967,Birds
Kauai akialoa (honeycreeper),Akialoa stejnegeri,Extinction,Wherever found,3/11/1967,Birds
Kauai nukupuu,Hemignathus hanapepe,Extinction,Wherever found,3/11/1967,Birds
Kauai `o`o (honeyeater),Moho braccatus,Extinction,Wherever found,3/11/1967,Birds
Key deer,Odocoileus virginianus clavium,Endangered,Wherever found,3/11/1967,Mammals
Kirtland's Warbler,Setophaga kirtlandii,Recovery,Wherever found,3/11/1967,Birds
Laysan duck,Anas laysanensis,Endangered,Wherever found,3/11/1967,Birds
Laysan finch,Telespiza cantans,Endangered,Wherever found,3/11/1967,Birds
Little Colorado spinedace,Lepidomeda vittata,Threatened,Wherever found,3/11/1967,Fishes
Longjaw cisco,Coregonus alpenae,Extinction,Wherever found,3/11/1967,Fishes
Maryland darter,Etheostoma sellare,Endangered,Wherever found,3/11/1967,Fishes
Masked bobwhite (quail),Colinus virginianus ridgwayi,Endangered,Wherever found,3/11/1967,Birds
Maui parrotbill (Kiwikiu),Pseudonestor xanthophrys,Endangered,Wherever found,3/11/1967,Birds
Moapa dace,Moapa coriacea,Endangered,Wherever found,3/11/1967,Fishes
Nihoa finch,Telespiza ultima,Endangered,Wherever found,3/11/1967,Birds
Nihoa millerbird (old world warbler),Acrocephalus familiaris kingi,Endangered,Wherever found,3/11/1967,Birds
`O`u (honeycreeper),Psittirostra psittacea,Endangered,Wherever found,3/11/1967,Birds
Owens pupfish,Cyprinodon radiosus,Endangered,Wherever found,3/11/1967,Fishes
Pahrump poolfish,Empetrichthys latos,Endangered,Wherever found,3/11/1967,Fishes
Paiute cutthroat trout,Oncorhynchus clarkii seleniris,Threatened,Wherever found,3/11/1967,Fishes
Palila (honeycreeper),Loxioides bailleui,Endangered,Wherever found,3/11/1967,Birds
Puaiohi,Myadestes palmeri,Endangered,Wherever found,3/11/1967,Birds
Puerto Rican parrot,Amazona vittata,Endangered,Wherever found,3/11/1967,Birds
Red wolf,Canis rufus,Endangered,"Wherever found, except where listed as an experimental population",3/11/1967,Mammals
San Francisco garter snake,Thamnophis sirtalis tetrataenia,Endangered,Wherever found,3/11/1967,Reptiles
San Joaquin kit fox,Vulpes macrotis mutica,Endangered,wherever found,3/11/1967,Mammals
Santa Cruz long-toed salamander,Ambystoma macrodactylum croceum,Endangered,Wherever found,3/11/1967,Amphibians
Shortnose sturgeon,Acipenser brevirostrum,Endangered,Wherever found,3/11/1967,Fishes
Sonoran pronghorn,Antilocapra americana sonoriensis,Endangered,"Wherever found, except where listed as an experimental population",3/11/1967,Mammals
Texas blind salamander,Eurycea rathbuni,Endangered,Wherever found,3/11/1967,Amphibians
Tule white-fronted goose,Anser albifrons elgasi,Resolved Taxon,Wherever found,3/11/1967,Birds
West Indian Manatee,Trichechus manatus,Threatened,Wherever found,3/11/1967,Mammals
Westslope cutthroat trout,Oncorhynchus clarkii lewisi,Resolved Taxon,Wherever found,3/11/1967,Fishes
Whooping crane,Grus americana,Endangered,"Wherever found, except where listed as an experimental population",3/11/1967,Birds
Yuma Ridgway's rail,Rallus obsoletus yumanensis,Endangered,Wherever found,3/11/1967,Birds
American peregrine falcon,Falco peregrinus anatum,Recovery,Wherever found,6/2/1970,Birds
Arctic peregrine Falcon,Falco peregrinus tundrius,Recovery,Wherever found,6/2/1970,Birds
Bermuda petrel,Pterodroma cahow,Endangered,Wherever found,6/2/1970,Birds
Blue whale,Balaenoptera musculus,Endangered,Wherever found,6/2/1970,Mammals
Bowhead whale,Balaena mysticetus,Endangered,Wherever found,6/2/1970,Mammals
Brown pelican,Pelecanus occidentalis,Recovery,"U.S. Atlantic coast, FL, AL",6/2/1970,Birds
Brown pelican,Pelecanus occidentalis,Recovery,"Wherever found, except U.S. Atlantic coast, FL, AL",6/2/1970,Birds
California least tern,Sternula antillarum browni,Endangered,Wherever found,6/2/1970,Birds
Finback whale,Balaenoptera physalus,Endangered,Wherever found,6/2/1970,Mammals
Hawksbill sea turtle,Eretmochelys imbricata,Endangered,Wherever found,6/2/1970,Reptiles
Humpback whale,Megaptera novaeangliae,Recovery,Hawaii DPS,6/2/1970,Mammals
Humpback whale,Megaptera novaeangliae,Recovery,West Indies DPS,6/2/1970,Mammals
Humpback whale,Megaptera novaeangliae,Threatened,Mexico DPS,6/2/1970,Mammals
Humpback whale,Megaptera novaeangliae,Recovery,Oceania DPS,6/2/1970,Mammals
Humpback whale,Megaptera novaeangliae,Resolved Taxon,Wherever found,6/2/1970,Mammals
Leatherback sea turtle,Dermochelys coriacea,Endangered,Wherever found,6/2/1970,Reptiles
Micronesian megapode,Megapodius laperouse,Endangered,Wherever found,6/2/1970,Birds
Nightingale reed warbler (old world warbler),Acrocephalus luscinia,Endangered,Wherever found,6/2/1970,Birds
North Atlantic Right Whale,Eubalaena glacialis,Endangered,Wherever found,6/2/1970,Mammals
North Pacific Right Whale,Eubalaena japonica,Endangered,Wherever found,6/2/1970,Mammals
Palau fantail flycatcher,Rhipidura lepida,Recovery,Wherever found,6/2/1970,Birds
Palau ground dove,Gallicolumba canifrons,Recovery,Wherever found,6/2/1970,Birds
Palau Owl,Pyrroglaux podargina,Recovery,Wherever found,6/2/1970,Birds
Sei whale,Balaenoptera borealis,Endangered,Wherever found,6/2/1970,Mammals
Short-tailed albatross,Phoebastria (=Diomedea) albatrus,Endangered,Wherever found,6/2/1970,Birds
Sperm whale,Physeter catodon (=macrocephalus),Endangered,Wherever found,6/2/1970,Mammals
Thick-billed parrot,Rhynchopsitta pachyrhyncha,Endangered,Wherever found,6/2/1970,Birds
Tinian Monarch (old world flycatcher),Monarcha takatsukasae,Recovery,Wherever found,6/2/1970,Birds
Wood Bison,Bison bison athabascae,Threatened,Wherever found,6/2/1970,Mammals
California Ridgway''s rail,Rallus obsoletus obsoletus,Endangered,Wherever found,10/13/1970,Birds
Fountain darter,Etheostoma fonticola,Endangered,Wherever found,10/13/1970,Fishes
Hawaii akepa,Loxops coccineus,Endangered,Wherever found,10/13/1970,Birds
Hawaiian coot (alae ke`oke`o),Fulica alai,Endangered,Wherever found,10/13/1970,Birds
Hawaiian hoary bat,Lasiurus cinereus semotus,Endangered,Wherever found,10/13/1970,Mammals
Hawaiian stilt,Himantopus mexicanus knudseni,Endangered,Wherever found,10/13/1970,Birds
Houston toad,Bufo houstonensis,Endangered,Wherever found,10/13/1970,Amphibians
Kendall Warm Springs dace,Rhinichthys osculus thermalis,Endangered,Wherever found,10/13/1970,Fishes
Lahontan cutthroat trout,Oncorhynchus clarkii henshawi,Threatened,Wherever found,10/13/1970,Fishes
Large Kauai (=kamao) Thrush,Myadestes myadestinus,Extinction,Wherever found,10/13/1970,Birds
Light-footed Ridgway''s rail,Rallus obsoletus levipes,Endangered,Wherever found,10/13/1970,Birds
Maui akepa,Loxops ochraceus,Extinction,Wherever found,10/13/1970,Birds
Maui nukupuu,Hemignathus affinis,Extinction,Wherever found,10/13/1970,Birds
Mohave tui chub,Gila bicolor ssp. mohavensis,Endangered,Wherever found,10/13/1970,Fishes
Molokai creeper,Paroreomyza flammea,Extinction,Wherever found,10/13/1970,Birds
Molokai `oloma`o,Myadestes lanaiensis rutha,Endangered,Wherever found,10/13/1970,Birds
Morro Bay kangaroo rat,Dipodomys heermanni morroensis,Endangered,Wherever found,10/13/1970,Mammals
O`ahu `alauahio,Paroreomyza maculata,Endangered,Wherever found,10/13/1970,Birds
Pahranagat roundtail chub,Gila robusta jordani,Endangered,Wherever found,10/13/1970,Fishes
Pecos gambusia,Gambusia nobilis,Endangered,Wherever found,10/13/1970,Fishes
Puerto Rican boa,Chilabothrus inornatus,Endangered,Wherever found,10/13/1970,Reptiles
Puerto Rican plain Pigeon,Patagioenas inornata wetmorei,Endangered,Wherever found,10/13/1970,Birds
Red-cockaded woodpecker,Picoides borealis,Endangered,Wherever found,10/13/1970,Birds
Salt marsh harvest mouse,Reithrodontomys raviventris,Endangered,wherever found,10/13/1970,Mammals
Tecopa pupfish,Cyprinodon nevadensis calidae,Extinction,Wherever found,10/13/1970,Fishes
Unarmored threespine stickleback,Gasterosteus aculeatus williamsoni,Endangered,Wherever found,10/13/1970,Fishes
Virgin Islands tree boa,Chilabothrus granti,Endangered,Wherever found,10/13/1970,Reptiles
Warm Springs pupfish,Cyprinodon nevadensis pectoralis,Endangered,Wherever found,10/13/1970,Fishes
Watercress darter,Etheostoma nuchale,Endangered,Wherever found,10/13/1970,Fishes
Woundfin,Plagopterus argentissimus,Endangered,"Wherever found, except where listed as an experimental population",10/13/1970,Fishes
Kemp's ridley sea turtle,Lepidochelys kempii,Endangered,Wherever found,12/2/1970,Reptiles
Jaguar,Panthera onca,Endangered,Wherever found,3/28/1972,Mammals
Ocelot,Leopardus (=Felis) pardalis,Endangered,wherever found,3/28/1972,Mammals
Desert slender salamander,Batrachoseps aridus,Endangered,Wherever found,6/4/1973,Amphibians
Eastern puma (=cougar),Puma (=Felis) concolor couguar,Extinction,Wherever found,6/4/1973,Mammals
Mississippi sandhill crane,Antigone canadensis pulla,Endangered,Wherever found,6/4/1973,Birds
Okaloosa darter,Etheostoma okaloosae,Recovery,Wherever found,6/4/1973,Fishes
Puerto Rican nightjar,Antrostomus noctitherus,Endangered,Wherever found,6/4/1973,Birds
