Region,BlockNumber,BlockName,SiteID,SiteName,SamplingDate,Year,Haulout,Latitude,Longitude,SpraintNum,Clam,Crab,Mussel,Urchin,Other,OtherSpecies,Notes
AKP,10,KATM,AKP_B10_RI_01,Douglas Reef,2008-08-08,2008,Douglas Reef,58.7606,-153.270969,.,A,A,P,PR,PR,limpet,
AKP,10,KATM,AKP_B10_RI_01,Douglas Reef,2008-08-08,2008,Douglas Reef,58.7606,-153.270969,.,A,A,PR,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Douglas Reef,2008-08-08,2008,Douglas Reef,58.7606,-153.270969,.,A,A,PR,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Douglas Reef,2008-08-08,2008,Douglas Reef,58.7606,-153.270969,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Douglas Reef,2008-08-08,2008,Douglas Reef,58.7606,-153.270969,.,PR,P,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Douglas Reef,2008-08-08,2008,Douglas Reef,58.7606,-153.270969,.,PR,P,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Douglas Reef,2008-08-08,2008,Douglas Reef,58.7606,-153.270969,.,PR,P,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Douglas Reef,2008-08-08,2008,Douglas Reef,58.7606,-153.270969,.,PR,P,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Douglas Reef,2008-08-08,2008,Douglas Reef,58.7606,-153.270969,.,PR,P,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Douglas Reef,2008-08-08,2008,Douglas Reef,58.7606,-153.270969,.,PR,P,P,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Douglas Reef,2018-07-10,2018,Douglas Reef,58.7606,-153.270969,1,A,A,PR,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Douglas Reef,2018-07-10,2018,Douglas Reef,58.7606,-153.270969,2,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Douglas Reef,2018-07-10,2018,Douglas Reef,58.7606,-153.270969,3,A,PR,A,A,A,.,"small crabs, blue-ish tinge to shells"
AKP,10,KATM,AKP_B10_RI_01,Shakun,2006-07-01,2006,Shakun,58.5758,-153.7152,.,PR,A,A,A,P,sand dollar,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2006-07-01,2006,Shakun,58.5758,-153.7152,.,PR,A,A,A,P,sand dollar,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2006-07-01,2006,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2006-07-01,2006,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2006-07-01,2006,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2006-07-01,2006,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2006-07-01,2006,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2006-07-01,2006,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2006-07-01,2006,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2006-07-01,2006,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2006-07-01,2006,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2006-07-01,2006,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2006-07-01,2006,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2006-07-01,2006,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2006-07-01,2006,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2006-07-01,2006,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2006-07-01,2006,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
