"year","stateabbr","statedesc","countyname","countyfips","locationname","datasource","category","measure","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","totalpopulation","geolocation","locationid","categoryid","measureid","datavaluetypeid","short_question_text"
"2021","AL","Alabama","Baldwin","01003","01003011300","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","35.1",,,"29.8","40.9","4487","POINT (-87.87730464 30.43411562)","01003011300","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2021","AL","Alabama","Chambers","01017","01017954000","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","46.3",,,"38.0","54.3","6669","POINT (-85.46010298 32.86128629)","01017954000","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2021","AL","Alabama","Cleburne","01029","01029959600","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","39.2",,,"31.0","47.8","4202","POINT (-85.56228862 33.69258271)","01029959600","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2021","AL","Alabama","Covington","01039","01039962000","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","4.2",,,"3.8","4.6","3917","POINT (-86.4651625 31.34674334)","01039962000","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","Fayette","01057","01057020400","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","36.0",,,"28.4","44.1","3550","POINT (-87.60702531 33.64745531)","01057020400","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2021","AL","Alabama","Houston","01069","01069040301","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.6",,,"3.2","4.1","3928","POINT (-85.41328193 31.25335654)","01069040301","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","Jefferson","01073","01073002000","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","6.0",,,"5.3","6.8","3885","POINT (-86.71548594 33.55303272)","01073002000","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","Jefferson","01073","01073003600","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","5.1",,,"4.5","5.7","4683","POINT (-86.89814937 33.48476949)","01073003600","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","Jefferson","01073","01073003802","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","4.6",,,"4.1","5.0","5409","POINT (-86.88989714 33.47869952)","01073003802","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","Jefferson","01073","01073011205","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.0",,,"2.7","3.4","2087","POINT (-86.66406745 33.68837553)","01073011205","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","Jefferson","01073","01073011400","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.6",,,"3.3","4.0","6581","POINT (-86.86434506 33.80504542)","01073011400","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","Jefferson","01073","01073011600","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.0",,,"2.8","3.3","4027","POINT (-86.9199105 33.68291142)","01073011600","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","Jefferson","01073","01073011706","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","38.0",,,"33.8","42.5","2394","POINT (-86.74631479 33.70210671)","01073011706","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2021","AL","Alabama","Jefferson","01073","01073011803","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","4.0",,,"3.7","4.5","4802","POINT (-86.69506986 33.62908386)","01073011803","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","Jefferson","01073","01073012304","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.4",,,"3.0","3.9","2611","POINT (-86.96132062 33.50462378)","01073012304","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","Jefferson","01073","01073012910","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","1.7",,,"1.5","1.9","3347","POINT (-86.73234791 33.4264614)","01073012910","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","Jefferson","01073","01073013801","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","50.0",,,"45.4","54.7","2122","POINT (-86.96701463 33.42463703)","01073013801","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2021","AL","Alabama","Lauderdale","01077","01077011101","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","35.1",,,"28.0","43.3","5919","POINT (-87.70012687 34.8647044)","01077011101","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2021","AL","Alabama","Lauderdale","01077","01077011700","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.3",,,"3.0","3.6","4480","POINT (-87.3917527 34.9201839)","01077011700","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","Lawrence","01079","01079979800","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.9",,,"3.5","4.4","3269","POINT (-87.30932754 34.41482804)","01079979800","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","Limestone","01083","01083020401","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.6",,,"3.1","4.1","5961","POINT (-87.14181972 34.79486563)","01083020401","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","Marshall","01095","01095030802","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","37.9",,,"31.0","45.6","7726","POINT (-86.14491552 34.26469958)","01095030802","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2021","AL","Alabama","Montgomery","01101","01101005800","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","4.4",,,"4.0","4.9","2186","POINT (-86.23509254 32.04753783)","01101005800","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","Randolph","01111","01111000500","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.9",,,"3.6","4.3","5078","POINT (-85.31748973 33.14364884)","01111000500","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","St. Clair","01115","01115040205","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","3.9",,,"3.5","4.3","5279","POINT (-86.31590902 33.47615079)","01115040205","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","Talladega","01121","01121010101","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.4",,,"2.2","2.7","5171","POINT (-85.85421771 33.54416533)","01121010101","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AL","Alabama","Talladega","01121","01121010500","BRFSS","Health Outcomes","Obesity among adults aged >=18 years","%","Crude prevalence","49.3",,,"41.7","57.0","2898","POINT (-86.07050767 33.45866248)","01121010500","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2021","AK","Alaska","Anchorage","02020","02020001200","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.5",,,"2.2","3.0","3718","POINT (-149.9053681 61.20995594)","02020001200","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AK","Alaska","Anchorage","02020","02020001300","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.4",,,"2.1","2.8","3059","POINT (-149.9362474 61.20007422)","02020001300","HLTHOUT","STROKE","CrdPrv","Stroke"
"2021","AK","Alaska","Anchorage","02020","02020002303","BRFSS","Health Outcomes","Stroke among adults aged >=18 years","%","Crude prevalence","2.1",,,"1.9","2.3","9273","POINT (-149.9287596 61.14605637)","02020002303","HLTHOUT","STROKE","CrdPrv","Stroke"
